ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score
011070,LG이노텍,,625000,25.2,10.5,21.8,-65.0,320.9,-6.4,-34.7,47.1,-18.0,-33.4,37.0,0.5,1788000,148500,5,False,True,False,187917,285966,899.1,1198.0,2226.3,0.66,3,False,False,True,False,+3%반등,81.2,248.5,-231.1,8422.5,-6517.3,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,97.2,99.2,011070,00105961,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,6650.1,7060.4,-5.8,CFS,영업이익,dart_OperatingIncomeLoss,13314.0,11100.6,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,2953.2,1251.2,136.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.0,default,2,124.2,126.2
000660,SK하이닉스,,1759000,30.2,9.9,19.1,-41.1,618.0,-4.5,-31.8,43.7,-18.0,-20.0,53.6,0.82,2987000,245000,10,False,True,True,4874667,6080977,86816.7,88518.8,132732.4,0.8,3,False,False,True,False,+3%반등,78.5,9263.8,-24267.7,-130021.6,-63841.5,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,99.5,101.5,000660,00164779,0,8,0,0,,[20260715] 유상증자또는주식관련사채등의발행결과(자율공시)               (20260715800045) || [20260710] [기재정정]주요사항보고서(유상증자결정) (20260710000008) || [20260706] [기재정정]주요사항보고서(유상증자결정) (20260706000403),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260715800045 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260710000008 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260706000403,,,,20260715800045 || 20260710000008 || 20260706000403,주의,SAFE,2025,472063.2,234673.2,101.2,CFS,영업이익(손실),dart_OperatingIncomeLoss,533731.3,297958.8,영업활동 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,376102.8,74405.0,405.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.13,default,4,118.5,120.5
047040,대우건설,,15300,35.7,26.2,26.1,-62.1,360.8,1.0,-21.5,-53.4,-9.1,-28.5,18.9,0.73,40350,3320,10,False,True,True,3934527,5125221,562.4,605.1,890.2,0.77,3,False,True,False,False,5일선회복,62.7,231.4,23.2,1070.7,256.0,True,15,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,90.7,92.7,047040,00124540,0,0,1,0,,,[20251216] 매매거래정지및정지해제(중요내용공시)               (20251216801928),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251216801928,,,,안전,SAFE,2025,-8154.3,4031.3,-302.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,4629.1,-12835.2,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,2556.3,1513.3,68.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,5,115.7,117.7
009150,삼성전기,,1326000,28.3,19.5,28.2,-45.1,900.8,3.8,-32.5,71.8,-17.9,-20.3,92.0,0.58,2417000,132500,10,False,True,True,730459,969660,7500.9,9759.1,16009.9,0.75,3,False,False,True,False,+3%반등,74.4,-1670.3,431.2,7399.8,-6289.2,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,95.4,97.4,009150,00126371,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,9133.3,7350.1,24.3,CFS,영업이익,dart_OperatingIncomeLoss,14900.9,14298.2,영업활동순현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,2805.7,2005.5,39.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.63,default,5,115.4,117.4
002220,한일철강,,3020,25.6,2.8,-22.9,-53.3,12.9,-28.1,-33.8,-34.5,-26.2,-35.2,-32.8,2.4,6470,2675,5,True,False,False,365694,244177,18.1,12.5,9.6,1.5,0,False,False,False,False,-,97.0,7.2,0.0,1.1,0.0,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,110.0,112.0,002220,00163196,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,31.8,6.7,376.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,5.9,32.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,4.6,1.9,145.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,-3,현금창출약함,0.19,default,-2,115.0,117.0
032350,롯데관광개발,,11620,25.7,23.0,21.5,-58.1,14.5,0.5,-21.5,-41.1,-14.9,-28.4,-40.5,0.73,27700,10150,10,False,True,True,477604,710087,61.3,53.8,91.5,0.67,6,False,True,True,False,5일선회복/+3%반등,73.9,26.6,-3.9,-11.9,-183.2,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,97.9,99.9,032350,00231372,0,2,0,0,,[20251022] [기재정정]주요사항보고서(전환사채권발행결정) (20251022000296) || [20251020] [기재정정]주요사항보고서(전환사채권발행결정) (20251020000141),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251022000296 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251020000141,,,,20251022000296 || 20251020000141,주의,SAFE,2025,1433.3,390.1,267.4,CFS,영업이익,dart_OperatingIncomeLoss,1000.9,1216.9,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,287.8,130.2,121.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,2,현금창출보통,0.7,default,5,114.9,116.9
034020,두산에너빌리티,,72100,34.3,33.3,33.8,-48.2,41.1,3.4,-20.4,-37.7,-6.5,-21.3,-21.1,0.69,139200,51100,10,False,True,True,2446243,2929705,1454.9,1681.1,2273.9,0.83,6,False,True,True,False,5일선회복/+3%반등,59.5,935.7,-237.7,480.7,561.7,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,83.5,85.5,034020,00159616,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,7627.1,10176.0,-25.0,CFS,영업이익,dart_OperatingIncomeLoss,7518.0,2422.0,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,2335.1,1424.8,63.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,0.99,default,5,113.5,115.5
456040,OCI,,76700,33.9,0.9,-6.5,-53.0,46.1,-14.6,-16.4,-21.9,-13.6,-25.6,-8.4,2.47,163200,52500,5,True,False,False,110485,62205,119.2,93.1,54.7,1.78,0,False,False,False,False,-,84.7,-108.1,-18.9,-165.2,53.3,True,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,89.7,91.7,456040,01760738,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,4.4,1104.9,-99.6,CFS,영업이익,dart_OperatingIncomeLoss,560.6,1638.8,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,278.3,102.5,171.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,127.41,default,-2,112.7,114.7
000890,보해양조,,1402,28.0,3.5,20.8,-68.1,14.0,-5.7,-64.5,-32.8,-17.8,-19.9,-32.4,0.07,4390,1230,5,False,True,False,680413,7610555,6.3,9.9,164.2,0.09,0,False,False,False,False,-,81.7,1.8,-0.0,11.1,-0.6,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,94.7,96.7,000890,00123541,0,1,0,0,,[20260305] 주식병합결정               (20260305801205),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260305801205,,,,20260305801205,주의,SAFE,2025,38.1,23.0,65.7,OFS,영업이익(손실),dart_OperatingIncomeLoss,50.2,32.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,12.1,9.7,24.3,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.32,default,2,111.7,113.7
002020,코오롱,,25900,16.4,10.3,10.3,-70.6,12.4,-23.5,-46.0,-56.8,-34.4,-48.1,-51.5,1.24,88200,23050,10,True,False,True,430337,141266,47.0,106.6,41.9,3.05,0,False,False,False,False,-,87.0,68.3,-125.9,67.4,-91.9,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,105.0,107.0,002020,00152862,0,5,0,0,,[20260406] [기재정정]유상증자또는주식관련사채등의발행결과(자율공시)               (20260406801050) || [20260406] [기재정정]유상증자또는주식관련사채등의발행결과(자율공시)               (20260406801026) || [20260406] 유상증자또는주식관련사채등의발행결과(자율공시)               (20260406800965),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260406801050 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260406801026 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260406800965,,,,20260406801050 || 20260406801026 || 20260406800965,주의,SAFE,2025,605.0,-920.1,165.8,CFS,영업이익(손실),dart_OperatingIncomeLoss,104.1,-1797.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,987.8,382.4,158.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,-3,현금창출약함,0.17,default,-1,111.0,113.0
090460,비에이치,,16160,35.2,5.4,8.2,-62.8,27.8,-8.9,-28.2,-52.3,-13.4,-35.9,-23.9,1.54,43400,12640,5,False,False,True,335981,338387,81.7,56.9,63.8,0.99,0,False,False,False,False,-,80.7,-18.4,-19.6,0.8,-65.4,True,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,85.7,87.7,090460,00447609,0,1,0,0,,[20250923] 유상증자또는주식관련사채등의발행결과(자율공시)               (20250923800242),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250923800242,,,,20250923800242,주의,SAFE,2025,539.8,870.5,-38.0,CFS,영업이익(손실),dart_OperatingIncomeLoss,1591.6,1865.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,106.6,-253.6,142.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.95,default,0,110.7,112.7
007810,코리아써키트,,57100,31.0,5.8,9.8,-61.5,412.6,-18.8,-42.0,-36.3,-22.8,-40.9,-8.8,1.09,148300,11140,0,False,False,False,217914,324705,204.4,135.7,248.4,0.67,0,False,False,False,False,-,85.0,79.0,-147.3,345.8,-676.2,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,93.0,95.0,007810,00152686,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,538.2,-331.5,262.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,391.4,995.3,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,264.4,-16.7,1686.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.73,default,2,110.0,112.0
097230,HJ중공업,,16070,33.0,34.1,35.5,-53.2,122.6,3.3,-22.7,-42.6,-7.7,-20.1,-32.4,2.13,34350,7220,10,False,True,True,667365,674196,233.2,102.8,120.1,0.99,10,False,True,True,True,5일선회복/+3%반등/거래량동반양봉,68.3,-37.1,39.4,-188.1,142.9,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,96.3,98.3,097230,00633835,0,3,0,0,,[20251001] 유상증자또는주식관련사채등의발행결과(자율공시)               (20251001800236) || [20250929] [기재정정]주요사항보고서(유상증자결정) (20250929000335) || [20250912] 주요사항보고서(유상증자결정) (20250912000327),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251001800236 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250929000335 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250912000327,,,,20251001800236 || 20250929000335 || 20250912000327,주의,SAFE,2025,670.7,72.5,824.9,CFS,영업이익(손실),dart_OperatingIncomeLoss,63.3,-863.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,245.8,54.5,350.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,-3,현금창출약함,0.09,default,6,109.3,111.3
001740,SK네트웍스,,7680,29.5,15.7,22.5,-52.7,79.6,-3.9,-19.4,43.0,-11.2,-22.4,23.5,0.46,16240,4275,0,False,False,False,1512816,3433332,89.3,117.0,328.1,0.44,0,False,False,False,False,-,74.3,47.4,-3.1,317.0,13.5,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,82.3,84.3,001740,00131780,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,862.9,1139.2,-24.2,CFS,영업이익,dart_OperatingIncomeLoss,2222.9,2763.9,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,333.5,164.8,102.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.58,default,2,109.3,111.3
012610,경인양행,,2880,34.0,20.6,27.2,-55.2,4.7,-1.4,-20.0,-32.4,-7.4,-28.3,-27.7,0.84,6430,2750,0,False,False,False,174129,252944,6.1,5.0,8.0,0.69,6,False,True,True,False,5일선회복/+3%반등,65.5,-2.6,0.2,-14.7,0.8,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,79.5,81.5,012610,00102113,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,162.7,242.3,-32.9,CFS,영업이익(손실),dart_OperatingIncomeLoss,337.3,632.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,65.3,53.2,22.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.07,default,4,108.5,110.5
051630,진양화학,,1112,26.4,0.3,-12.9,-68.4,0.2,-29.4,-40.5,-50.1,-30.4,-38.3,-51.8,1.27,3515,1110,5,True,False,False,877660,301170,4.4,10.8,4.1,2.91,0,False,False,False,False,-,91.3,1.1,-0.0,-0.6,0.0,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,104.3,106.3,051630,00347734,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,-7.4,-41.4,82.0,OFS,영업이익(손실),dart_OperatingIncomeLoss,-10.4,-13.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,1.2,-1.8,166.8,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,-5,이중적자,,default,-1,108.3,110.3
195870,해성디에스,,49500,37.2,6.0,16.2,-54.4,128.6,-12.9,-28.9,-24.4,-15.4,-31.3,-16.9,0.83,108500,21650,0,False,False,False,230385,216892,91.3,121.7,126.9,1.06,0,False,False,False,False,-,72.2,50.4,-19.5,251.9,-267.3,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,80.2,82.2,195870,01032413,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,464.9,568.7,-18.2,CFS,영업이익(손실),dart_OperatingIncomeLoss,669.6,606.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,109.8,3.5,2995.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.44,default,2,107.2,109.2
249420,일동제약,,13960,32.4,22.3,27.4,-69.0,6.2,-1.9,-20.6,-50.5,-8.0,-23.0,-50.4,1.12,45050,13150,5,False,True,False,86410,107699,17.1,11.9,16.5,0.8,6,False,True,True,False,5일선회복/+3%반등,68.3,3.9,-3.4,38.1,3.4,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,87.3,89.3,249420,01168383,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,194.8,131.2,48.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,189.5,282.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,92.3,41.9,120.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.97,default,4,106.3,108.3
120110,코오롱인더,,53500,39.8,53.7,33.8,-49.0,58.5,-0.2,-19.2,-39.0,-4.2,-17.9,-8.8,0.84,104900,33750,5,False,False,True,255528,192279,86.3,131.1,106.3,1.33,6,False,True,True,False,5일선회복/+3%반등,51.0,66.4,2.3,201.7,-4.8,True,15,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,77.0,79.0,120110,00795135,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,1089.0,1587.2,-31.4,CFS,V. 영업이익,dart_OperatingIncomeLoss,3550.4,2905.9,I. 영업활동으로인한현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,619.2,269.3,129.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,3.26,default,4,106.0,108.0
023530,롯데쇼핑,,125900,22.4,12.0,11.5,-40.3,100.8,-10.6,-27.8,6.8,-18.5,-23.7,16.6,0.83,211000,62700,0,False,False,False,185148,158418,167.4,237.7,242.7,1.17,0,False,False,False,False,-,79.9,363.9,-298.4,641.9,-637.8,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,87.9,89.9,023530,00120526,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,5470.4,4731.1,15.6,CFS,영업이익,dart_OperatingIncomeLoss,17237.5,15879.0,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,2528.8,1482.4,70.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,3.15,default,2,104.9,106.9
005930,삼성전자,,249500,34.5,11.2,20.0,-33.4,303.7,-2.2,-26.7,13.9,-12.4,-18.1,31.7,0.91,374500,61800,10,False,True,True,22334066,29099395,65308.1,56962.9,84690.1,0.77,0,False,False,False,False,-,66.7,8309.6,-12091.6,-119086.1,-5899.2,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,84.7,86.7,005930,00126380,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,436010.5,327259.6,33.2,CFS,영업이익,dart_OperatingIncomeLoss,853151.5,729826.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,572328.0,66852.7,756.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.96,default,4,103.7,105.7
084670,동양고속,,24350,28.4,17.3,20.5,-85.9,239.6,-4.1,-27.1,-39.4,-10.1,-30.7,-34.4,0.33,172800,7170,0,False,False,False,26681,86436,6.9,6.5,25.0,0.31,0,False,False,False,False,-,78.5,1.9,-0.0,6.0,-0.0,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,86.5,88.5,084670,00540641,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,51.0,-15.3,433.0,CFS,영업이익(손실),dart_OperatingIncomeLoss,93.6,77.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,6.2,-2.9,317.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.84,default,2,103.5,105.5
329180,HD현대중공업,,485500,30.8,28.7,33.1,-36.5,27.3,0.3,-17.3,-15.7,-7.1,-19.9,-15.1,0.62,765000,381500,10,False,True,True,250941,308579,943.8,1175.4,1613.3,0.81,6,False,True,True,False,5일선회복/+3%반등,59.1,-151.8,113.0,-650.1,814.5,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,83.1,85.1,329180,01390344,0,0,1,0,,,[20250827] 매매거래정지및정지해제(중요내용공시)               (20250827800309),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250827800309,,,,안전,SAFE,2025,20375.1,7052.2,188.9,CFS,영업이익,dart_OperatingIncomeLoss,35103.9,28838.8,영업활동으로 인한 순현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,9053.9,4337.3,108.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.72,default,5,103.1,105.1
