market,run_id,run_timestamp,ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,reversal_score,supply_score_v2,supply_intensity,quality_score,turnaround_score,oversold_component,PBR,PER,DIV,BPS,EPS,value_score,value_source,main_candidate,final_score_v3,entry_score,grade,bucket
kosdaq,20260602,20260602_2340,045060,오공,화학,2060,20.2,23.1,6.8,-23.4,4.9,-9.8,-16.6,-12.5,-9.9,-11.4,-13.3,3.19,2690,1964,5,1,0,0,187363,79873,5.4,3.9,1.8,2.35,4,0,0,0,1,거래량동반양봉,76.7,1.6,0.1,3.8,1.1,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,100.7,99.7,045060,220969,0,0,0,0,,,,,,,,,,,안전,2025.0,56.2,86.4,-34.9,CFS,영업이익,dart_OperatingIncomeLoss,77.0,111.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,16.3,8.0,103.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.37,default,-2,123.7,122.7,4,15.0,0.944,20.0,17.0,19.175,0.29,6.26,2.43,7198.0,329.0,15.0,PYKRX,True,90.2,59.7,B,WAIT
kosdaq,20260602,20260602_2340,078070,유비쿼스홀딩스,금융(은행),11020,24.4,3.3,0.3,-48.9,19.1,-19.4,-30.1,-7.2,-21.5,-28.2,-8.2,0.9,21550,9250,0,0,0,0,102118,129895,12.9,12.3,18.7,0.79,0,0,0,0,0,-,89.4,11.5,-0.4,28.7,0.5,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,97.4,96.4,078070,411385,0,0,0,0,,,,,,,,,,,안전,2025.0,306.1,143.5,113.3,CFS,영업이익,dart_OperatingIncomeLoss,321.2,429.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,57.5,44.9,28.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.05,default,-1,111.4,110.4,0,15.0,0.594,23.0,11.0,20.0,0.69,8.93,2.18,16069.0,1234.0,20.0,PYKRX,True,89.0,50.1,B,OBSERVE
kosdaq,20260602,20260602_2340,143240,사람인,IT서비스,14690,20.4,19.5,5.2,-20.2,16.9,-5.4,-15.2,3.2,-7.6,-10.8,1.6,1.03,18400,12570,0,0,0,0,15366,11722,1.8,2.3,1.9,1.31,0,0,0,0,0,-,66.4,0.6,1.2,-0.1,4.5,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,81.4,80.4,143240,857480,0,0,0,0,,,,,,,,,,,안전,2025.0,167.8,212.6,-21.1,CFS,영업이익,dart_OperatingIncomeLoss,123.6,222.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,42.7,19.6,117.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,0.74,default,2,108.4,107.4,0,15.0,0.947,20.0,17.0,16.6,0.58,1.68,4.77,25433.0,8746.0,20.0,PYKRX,True,88.6,50.9,B,OBSERVE
kosdaq,20260602,20260602_2340,133750,메가엠디,교육,1396,7.9,7.9,-3.2,-38.8,2.3,-15.8,-26.3,-27.0,-16.5,-21.5,-24.9,1.09,2280,1365,0,0,0,0,64428,56400,0.9,1.0,0.9,1.14,0,0,0,0,0,-,84.1,-0.2,0.5,-0.9,2.9,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,92.1,91.1,133750,807555,0,0,0,0,,,,,,,,,,,안전,2025.0,18.1,22.4,-18.9,OFS,영업이익(손실),dart_OperatingIncomeLoss,51.0,83.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,1.5,-4.9,130.4,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.82,default,-1,116.1,115.1,0,15.0,0.333,20.0,17.0,20.0,0.46,11.08,4.3,3007.0,126.0,15.0,PYKRX,True,87.0,51.9,B,OBSERVE
kosdaq,20260602,20260602_2340,094970,제이엠티,반도체·전자부품,2870,19.2,6.0,5.7,-32.9,30.8,-15.6,-22.8,0.2,-19.6,-17.1,-1.9,0.77,4275,2195,0,0,0,0,243301,291078,6.6,7.3,10.6,0.84,0,0,0,0,0,-,77.3,2.0,0.4,4.2,-0.7,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,92.3,91.3,094970,533508,0,0,0,0,,,,,,,,,,,안전,2025.0,131.4,52.8,148.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,172.6,-38.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,34.3,-14.3,340.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.31,default,-3,104.3,103.3,0,13.0,0.226,23.0,11.0,19.325,0.33,3.36,2.09,8646.0,853.0,20.0,PYKRX,True,86.3,47.5,B,OBSERVE
kosdaq,20260602,20260602_2340,038460,바이오스마트,반도체·전자부품,3045,25.6,18.4,12.2,-56.1,15.8,-15.1,-32.8,-39.9,-16.0,-24.2,-17.4,0.81,6930,2630,0,0,0,0,337837,438309,9.6,10.8,16.8,0.77,0,0,0,0,0,-,83.0,9.3,0.0,18.8,0.0,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,91.0,90.0,038460,240857,0,0,0,0,,,,,,,,,,,안전,2025.0,225.7,202.4,11.5,CFS,영업손익,dart_OperatingIncomeLoss,240.7,37.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,100.7,56.2,79.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업손익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.07,default,2,108.0,107.0,0,15.0,0.554,23.0,11.0,20.0,0.53,8.55,0.0,5697.0,356.0,17.0,PYKRX,True,86.0,50.1,B,OBSERVE
kosdaq,20260602,20260602_2340,099390,브레인즈컴퍼니,출판·SW,3820,33.3,1.3,6.8,-44.1,0.4,-5.7,-21.2,-17.0,-8.3,-12.4,-23.2,0.81,6830,3805,0,0,0,0,30893,27100,0.9,1.2,1.1,1.14,0,0,0,0,0,-,75.6,1.5,0.1,2.1,0.0,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,90.6,89.6,099390,642897,0,0,0,0,,,,,,,,,,,안전,2025.0,21.1,36.0,-41.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,57.6,52.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-12.2,-19.4,37.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.73,default,2,117.6,116.6,0,15.0,1.455,20.0,17.0,18.9,0.54,5.77,4.45,7049.0,662.0,15.0,PYKRX,True,85.9,51.6,B,OBSERVE
kosdaq,20260602,20260602_2340,088130,동아엘텍,기계·장비,7020,28.0,5.9,2.8,-52.0,145.0,-26.3,-41.1,-30.2,-24.4,-21.0,19.5,0.69,14620,2865,0,0,0,0,417903,606572,27.3,33.4,59.5,0.69,0,0,0,0,0,-,88.9,16.9,1.7,54.0,2.6,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,103.9,102.9,088130,489243,0,0,0,0,,,,,,,,,,,안전,2025.0,1132.3,147.3,668.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,938.7,-204.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,40.2,-31.3,228.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.83,default,-3,115.9,114.9,0,15.0,0.313,23.0,11.0,20.0,0.72,2.5,2.14,9726.0,2811.0,15.0,PYKRX,True,84.0,50.1,B,OBSERVE
kosdaq,20260602,20260602_2340,073560,우리손에프앤지,미분류,1629,40.7,46.4,28.8,-24.2,19.8,-2.6,-8.4,-15.0,-3.6,-3.8,1.6,2.83,2150,1360,5,1,0,0,288077,206538,9.6,4.6,3.5,1.39,7,0,1,0,1,5일선회복/거래량동반양봉,45.5,1.3,0.0,2.0,0.0,1,3,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,60.5,59.5,073560,413417,0,0,0,0,,,,,,,,,,,안전,2025.0,326.9,275.3,18.8,CFS,영업이익,dart_OperatingIncomeLoss,511.4,375.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,26.6,7.3,262.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.56,default,1,76.5,75.5,8,15.0,0.371,23.0,11.0,11.375,0.34,4.74,9.21,4805.0,344.0,15.0,PYKRX,True,83.4,63.5,A+,BUY
kosdaq,20260602,20260602_2340,010470,오리콤,엔지니어링,5290,30.5,31.4,10.4,-23.4,5.4,-6.0,-13.1,-11.8,-6.1,-9.3,-10.2,0.96,6910,5020,0,0,0,0,31239,25309,1.2,1.7,1.4,1.23,0,0,0,0,0,-,61.0,0.5,0.0,-2.1,0.0,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,69.0,68.0,010470,141671,0,0,0,0,,,,,,,,,,,안전,2025.0,89.2,120.0,-25.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,106.6,-32.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,15.0,-6.6,327.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.2,default,2,96.0,95.0,0,15.0,0.357,20.0,17.0,15.25,0.47,7.94,5.1,11173.0,666.0,15.0,PYKRX,True,82.2,50.5,B,OBSERVE
kosdaq,20260602,20260602_2340,088910,동우팜투테이블,미분류,2115,22.8,17.2,3.9,-22.5,6.9,-10.2,-15.1,-13.3,-11.2,-12.6,-4.3,1.34,2730,1978,0,0,0,0,107734,98478,2.8,2.4,2.4,1.09,0,0,0,0,0,-,69.9,0.6,0.3,0.6,1.0,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,84.9,83.9,088910,228712,0,0,0,0,,,,,,,,,,,안전,2025.0,131.5,-43.1,405.2,CFS,영업이익(손실),dart_OperatingIncomeLoss,254.6,-61.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,42.0,2.6,1487.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.94,default,-3,96.9,95.9,0,15.0,0.375,23.0,11.0,17.475,0.23,1.92,2.36,9312.0,1100.0,15.0,PYKRX,True,81.5,49.3,B,OBSERVE
kosdaq,20260602,20260602_2340,277070,린드먼아시아,금융(은행),3545,30.4,20.1,-17.9,-41.9,4.3,-11.6,-18.2,-31.7,-11.3,-14.8,-26.3,3.18,6100,3400,0,0,0,0,17573,12936,1.5,0.7,0.5,1.36,0,0,0,0,0,-,87.7,0.3,1.0,-0.7,1.3,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,102.7,101.7,277070,616962,0,0,0,0,,,,,,,,,,,안전,2025.0,36.0,42.1,-14.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,54.4,4.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,10.7,2.2,395.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.51,default,-2,125.7,124.7,0,15.0,2.6,20.0,17.0,20.0,0.74,14.96,7.05,4821.0,237.0,9.0,PYKRX,True,81.0,51.9,B,OBSERVE
kosdaq,20260602,20260602_2340,196700,웹스,화학,1393,30.2,27.2,11.0,-60.1,12.6,-11.1,-35.1,-49.2,-16.5,-26.5,-23.5,1.33,3490,1237,0,0,0,0,131026,134794,2.5,1.9,2.3,0.97,0,0,0,0,0,-,82.7,0.6,0.3,0.7,0.5,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,97.7,96.7,196700,864338,0,0,0,0,,,,,,,,,,,안전,2025.0,55.5,30.9,79.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,43.7,59.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,7.7,5.0,52.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.79,default,0,112.7,111.7,0,15.0,0.391,23.0,11.0,20.0,0.5,4.87,0.0,2809.0,286.0,12.0,PYKRX,True,81.0,50.1,B,OBSERVE
kosdaq,20260602,20260602_2340,080010,이상네트웍스,미분류,6830,28.0,13.2,-1.5,-16.2,27.2,-12.5,-7.6,-10.1,-10.0,-3.5,-1.2,0.72,8150,5370,0,0,0,0,12935,14850,0.7,0.9,1.1,0.87,0,0,0,0,0,-,64.5,1.5,-0.6,7.0,-0.6,1,3,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,67.5,66.5,080010,454399,0,0,0,0,,,,,,,,,,,안전,2025.0,229.2,207.4,10.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,236.6,174.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,58.4,40.7,43.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.03,default,-3,79.5,78.5,0,15.0,0.818,23.0,11.0,16.125,0.45,4.33,2.93,15272.0,1579.0,15.0,PYKRX,True,80.1,48.9,B,OBSERVE
kosdaq,20260602,20260602_2340,032960,동일기연,미분류,11480,31.9,42.0,26.9,-39.7,10.9,-1.5,-19.8,-27.2,-6.8,-20.0,-18.6,1.2,19050,10350,5,0,1,0,2749,3471,0.5,0.3,0.4,0.79,7,0,1,0,1,5일선회복/거래량동반양봉,63.2,0.2,-0.1,0.4,-0.5,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,83.2,82.2,032960,199076,0,0,0,0,,,,,,,,,,,안전,2025.0,-0.6,1.9,-132.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,37.8,44.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,5.9,0.5,979.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,4,107.2,106.2,11,10.0,0.25,10.0,17.0,15.8,0.61,6.79,4.36,18847.0,1691.0,15.0,PYKRX,True,78.8,58.6,C,OBSERVE
kosdaq,20260602,20260602_2340,053620,태양,미분류,6710,36.6,14.6,-22.8,-10.2,13.5,-8.1,-6.8,-3.7,-5.9,-5.9,0.6,2.3,7470,5910,0,0,0,0,16157,14663,2.3,1.1,1.0,1.1,0,0,0,0,0,-,57.9,0.6,0.0,2.6,-0.4,1,3,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,60.9,59.9,053620,186717,0,0,0,0,,,,,,,,,,,안전,2025.0,23.9,21.7,10.4,CFS,영업이익,dart_OperatingIncomeLoss,96.8,136.5,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,24.9,4.3,476.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,4.05,default,-2,73.9,72.9,0,15.0,0.6,23.0,11.0,14.475,0.28,4.51,5.96,24397.0,1489.0,15.0,PYKRX,True,78.5,48.4,B,OBSERVE
kosdaq,20260602,20260602_2340,041460,한국전자인증,출판·SW,3305,18.3,8.8,4.1,-37.2,1.8,-12.3,-22.3,-18.8,-12.6,-17.1,-15.7,1.22,5260,3245,0,0,0,0,112175,116615,4.7,3.9,4.4,0.96,0,0,0,0,0,-,80.5,0.9,0.5,-8.3,0.5,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,95.5,94.5,041460,361169,0,0,0,0,,,,,,,,,,,안전,2025.0,67.3,47.2,42.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,64.5,58.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,25.2,20.8,21.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.96,default,-1,109.5,108.5,0,15.0,0.318,23.0,11.0,20.0,0.94,13.12,2.9,3523.0,252.0,9.0,PYKRX,True,78.0,50.1,B,OBSERVE
kosdaq,20260602,20260602_2340,024740,한일단조,자동차·부품,2405,9.3,7.2,6.4,-49.9,20.2,-14.6,-33.7,3.7,-18.4,-24.1,-4.4,0.69,4800,2000,0,0,0,0,405524,423588,6.8,10.4,12.9,0.96,0,0,0,0,0,-,87.4,9.8,0.0,14.4,0.0,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,95.4,94.4,024740,162832,0,0,0,0,,,,,,,,,,,안전,2025.0,35.2,82.9,-57.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,82.6,244.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,25.5,8.2,211.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.35,default,0,120.4,119.4,0,15.0,0.76,20.0,17.0,20.0,0.57,53.44,0.0,4222.0,45.0,6.0,PYKRX,True,78.0,51.9,B,OBSERVE
kosdaq,20260602,20260602_2340,017890,한국알콜,미분류,11310,33.6,3.1,9.2,-22.4,27.9,-7.2,-20.4,-8.9,-9.8,-7.3,4.6,1.06,14570,8840,0,0,0,0,90799,94108,11.0,10.8,12.0,0.96,0,0,0,0,0,-,65.4,8.2,3.7,2.0,-1.1,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,80.4,79.4,017890,158565,0,0,0,0,,,,,,,,,,,안전,2025.0,174.9,106.9,63.6,CFS,영업외손익,dart_NonOperatingProfitLoss,544.0,266.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,63.7,51.9,22.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업외손익,dart_NonOperatingProfitLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,3.11,default,2,97.4,96.4,0,15.0,0.992,23.0,11.0,16.35,0.43,7.5,0.97,26443.0,1507.0,12.0,PYKRX,True,77.4,49.0,B,OBSERVE
kosdaq,20260602,20260602_2340,171120,라이온켐텍,미분류,2135,35.1,13.4,0.2,-41.5,7.1,-10.1,-19.4,-1.2,-9.2,-6.7,-2.6,0.35,3650,1993,0,0,0,0,325136,452322,3.3,7.2,10.8,0.72,0,0,0,0,0,-,72.7,3.2,-0.1,2.9,-0.1,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,80.7,79.7,171120,317104,0,0,0,0,,,,,,,,,,,안전,2025.0,113.7,93.8,21.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,270.7,36.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,41.9,-20.2,307.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,2.38,default,-3,92.7,91.7,0,10.0,0.287,23.0,11.0,18.175,0.54,8.86,4.68,3936.0,241.0,15.0,PYKRX,True,77.2,43.6,B,OBSERVE
kosdaq,20260602,20260602_2340,046940,우원개발,건설,3415,7.5,4.2,14.2,-48.3,28.1,-13.9,-42.0,-32.0,-27.0,-29.3,-11.1,0.62,6610,2665,0,0,0,0,279462,377540,8.1,10.3,18.8,0.74,0,0,0,0,0,-,83.6,2.6,0.1,-3.7,1.8,1,15,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,98.6,97.6,046940,363246,0,0,0,0,,,,,,,,,,,안전,2025.0,671.9,28.3,2277.3,CFS,영업이익,dart_OperatingIncomeLoss,530.5,169.5,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,15.7,9.5,65.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.79,default,0,113.6,112.6,0,8.0,0.144,23.0,11.0,20.0,0.39,1.29,3.51,8672.0,2654.0,15.0,PYKRX,True,77.0,41.7,B,OBSERVE
kosdaq,20260602,20260602_2340,200780,비씨월드제약,미분류,3750,31.2,31.3,7.1,-37.8,5.6,-6.8,-16.0,-33.4,-8.2,-14.8,-17.2,1.13,6030,3552,0,0,0,0,25729,22632,1.0,1.0,0.9,1.14,0,0,0,0,0,-,69.1,0.3,0.0,-0.1,-0.1,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,77.1,76.1,200780,256043,0,0,0,0,,,,,,,,,,,안전,2025.0,20.0,15.0,33.1,CFS,영업이익(손실),dart_OperatingIncomeLoss,55.8,40.4,Ⅰ.영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,18.1,-6.9,359.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,2.79,default,2,94.1,93.1,0,15.0,0.333,23.0,11.0,17.275,0.54,0.0,2.67,7000.0,0.0,10.0,PYKRX,True,76.3,49.3,B,OBSERVE
