ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,final_score_v3,grade,bucket,entry_score,value_score,value_source,quality_score,turnaround_score,reversal_score,supply_score_v2,oversold_component,main_candidate
006920,모헨즈,,3120,11.7,14.4,9.9,-59.1,16.6,-16.9,-37.6,-32.5,-21.4,-32.6,-16.0,8.06,7630,2675,5,True,False,False,615834,263017,67.5,19.6,9.7,2.34,4,False,False,False,True,거래량동반양봉,94.9,2.4,0.6,11.1,1.8,True,15,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,118.9,117.9,006920,163318,0,0,0,0,,,,,,,,,,,안전,2025.0,-29.6,27.3,-208.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,1.3,10.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-7.5,-13.7,45.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,1,139.9,138.9,61.0,C,OBSERVE,51.9,-5.0,PYKRX,10.0,17.0,4,15.0,20.0,True
188040,바이오포트,,4810,32.0,37.6,19.7,-77.6,17.3,-10.4,-25.2,-28.7,-12.2,-17.0,-44.0,6.46,21500,4100,5,True,False,False,99352,38021,12.1,4.6,1.9,2.61,3,False,True,False,False,5일선회복,81.7,2.2,0.1,0.1,0.1,True,15,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,104.7,103.7,188040,1157846,0,0,0,0,,,,,,,,,,,안전,2025.0,8.3,52.4,-84.2,CFS,영업이익(손실),dart_OperatingIncomeLoss,47.4,120.7,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,7.7,-0.2,3906.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,5.71,default,1,130.7,129.7,72.0,B,WAIT,55.9,1.0,PYKRX,15.0,17.0,4,15.0,20.0,True
475230,엔알비,,12310,27.4,1.7,6.3,-58.5,16.2,-14.0,-36.2,-55.6,-21.7,-35.2,-25.8,0.86,29650,10590,0,False,False,False,122050,139024,14.9,16.3,21.9,0.88,0,False,False,False,False,-,87.5,5.5,5.6,43.9,3.4,True,15,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,102.5,101.5,475230,1708163,0,0,0,0,,,,,,,,,,,안전,2025.0,45.0,62.2,-27.6,CFS,Ⅳ. 영업이익,dart_OperatingIncomeLoss,30.1,200.5,Ⅰ. 영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,14.7,5.0,191.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,Ⅳ. 영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,2,현금창출보통,0.67,default,2,126.5,125.5,59.0,B,OBSERVE,45.5,-5.0,PYKRX,12.0,17.0,0,15.0,20.0,True
263750,펄어비스,,42900,13.6,8.0,20.0,-44.6,47.9,-5.0,-28.4,-20.0,-11.3,-19.8,-2.4,0.76,77400,29000,5,False,False,True,570054,782998,254.7,249.0,386.3,0.73,0,False,False,False,False,-,79.0,284.6,53.5,144.4,-240.5,True,15,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,99.0,98.0,263750,1152470,0,0,0,0,,,,,,,,,,,안전,2025.0,55.0,249.7,-78.0,CFS,기타손익,dart_NonOperatingProfitLoss,239.3,-53.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-0.5,-1.5,68.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,기타손익,dart_NonOperatingProfitLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,4.35,default,2,126.0,125.0,69.8,B,OBSERVE,57.8,-5.0,PYKRX,20.0,17.0,3,15.0,19.75,True
277070,린드먼아시아,,3545,30.4,20.1,-17.9,-41.9,4.3,-11.6,-18.2,-31.7,-11.3,-14.8,-26.3,3.18,6100,3400,0,False,False,False,17573,12936,1.5,0.7,0.5,1.36,0,False,False,False,False,-,87.7,0.3,1.0,-0.7,1.3,True,15,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,102.7,101.7,277070,616962,0,0,0,0,,,,,,,,,,,안전,2025.0,36.0,42.1,-14.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,54.4,4.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,10.7,2.2,395.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.51,default,-2,125.7,124.7,81.0,B,OBSERVE,51.9,9.0,PYKRX,20.0,17.0,0,15.0,20.0,True
060260,뉴보텍,,1070,26.7,33.1,6.8,-50.5,36.8,-12.2,-28.5,0.3,-15.5,-19.2,-17.7,2.59,2160,782,5,True,False,False,160251,111090,3.2,1.8,1.4,1.44,4,False,False,False,True,거래량동반양봉,89.5,-0.4,-0.0,-0.7,-0.0,True,0,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,98.5,97.5,060260,351375,0,1,0,0,,[20251127] [첨부정정]주요사항보고서(전환사채권발행결정) (20251127001009),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251127001009,,,,20251127001009,주의,2025.0,13.0,26.3,-50.6,OFS,영업이익(손실),dart_OperatingIncomeLoss,24.9,42.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,3.0,2.2,34.4,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.92,default,1,124.5,123.5,47.0,WATCH,WATCH,29.9,6.0,PYKRX,20.0,17.0,4,-10.0,20.0,False
337930,젝시믹스,,2930,13.6,9.1,11.3,-57.5,4.3,-9.4,-35.0,-46.1,-19.6,-27.3,-39.2,0.84,6900,2810,5,False,True,False,271793,239533,6.0,8.3,8.6,1.13,0,False,False,False,False,-,85.5,4.1,0.8,9.6,1.0,True,15,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,105.5,104.5,337930,1391103,0,2,0,0,,[20260430] [첨부추가]전환사채(해외전환사채포함)발행후만기전사채취득              (제1회차) (20260430901349) || [20250910] 전환사채(해외전환사채포함)발행후만기전사채취득              (제1회차) (20250910900243),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260430901349 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250910900243,,,,20260430901349 || 20250910900243,주의,2025.0,173.5,249.0,-30.3,CFS,영업이익,dart_OperatingIncomeLoss,27.2,297.6,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,11.0,7.9,39.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,-3,현금창출약함,0.16,default,2,124.5,123.5,64.0,WATCH,WATCH,41.5,15.0,PYKRX,7.0,17.0,0,15.0,20.0,False
045060,오공,,2060,20.2,23.1,6.8,-23.4,4.9,-9.8,-16.6,-12.5,-9.9,-11.4,-13.3,3.19,2690,1964,5,True,False,False,187363,79873,5.4,3.9,1.8,2.35,4,False,False,False,True,거래량동반양봉,76.7,1.6,0.1,3.8,1.1,True,15,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,100.7,99.7,045060,220969,0,0,0,0,,,,,,,,,,,안전,2025.0,56.2,86.4,-34.9,CFS,영업이익,dart_OperatingIncomeLoss,77.0,111.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,16.3,8.0,103.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.37,default,-2,123.7,122.7,90.2,B,WAIT,59.7,15.0,PYKRX,20.0,17.0,4,15.0,19.175,True
077360,덕산하이메탈,,11550,28.2,7.7,-8.1,-45.3,203.9,-35.0,-34.5,-1.4,-31.5,-22.2,27.5,0.77,21100,3800,5,True,False,False,2465346,1759344,153.7,325.3,290.8,1.4,0,False,False,False,False,-,88.1,158.1,-208.6,353.3,-462.4,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,101.1,100.1,077360,471068,0,0,0,0,,,,,,,,,,,안전,2025.0,28.1,186.4,-84.9,CFS,영업이익(손실),dart_OperatingIncomeLoss,48.4,137.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-6.7,-13.9,52.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.72,default,-3,123.1,122.1,42.0,B,OBSERVE,21.9,-5.0,PYKRX,20.0,17.0,0,-10.0,20.0,True
068050,팬엔터테인먼트,,1124,19.6,23.9,8.6,-59.0,9.9,-13.6,-30.6,-33.8,-16.6,-25.3,-39.2,2.18,2740,1023,5,True,False,False,111504,79120,2.0,1.3,1.1,1.41,4,False,False,False,True,거래량동반양봉,89.0,1.1,-0.0,0.2,0.1,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,106.0,105.0,068050,397191,0,0,0,0,,,,,,,,,,,안전,2025.0,-34.7,1.3,-2794.2,CFS,영업이익(손실),dart_OperatingIncomeLoss,-33.7,92.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,0.8,-6.2,113.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,-5,이중적자,,default,1,122.0,121.0,-999.0,EXCLUDE,EXCLUDE,-999.0,7.0,PYKRX,-15.0,8.5,4,15.0,20.0,False
263720,디앤씨미디어,,9050,16.5,15.8,8.8,-54.8,5.2,-10.0,-26.7,-24.1,-14.5,-20.4,-31.1,2.03,20000,8600,5,True,False,False,41264,28659,5.3,3.9,3.0,1.44,4,False,False,False,True,거래량동반양봉,88.5,1.5,-0.2,-2.3,1.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,105.5,104.5,263720,1186404,0,0,0,0,,,,,,,,,,,안전,2025.0,173.4,108.6,59.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,150.5,140.5,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,34.9,22.6,54.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.87,default,1,121.5,120.5,73.0,B,WAIT,58.1,0.0,PYKRX,23.0,11.0,4,15.0,20.0,True
150900,파수AI,,3885,19.9,7.7,7.7,-43.6,19.2,-19.8,-35.2,4.7,-19.3,-12.9,-11.8,0.14,6890,3260,0,False,False,False,193448,960145,5.2,8.0,51.5,0.2,0,False,False,False,False,-,84.4,7.2,0.5,6.2,4.9,True,15,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,99.4,98.4,150900,638487,0,0,0,0,,,,,,,,,,,안전,2025.0,25.4,39.0,-35.0,CFS,영업이익(손실),dart_OperatingIncomeLoss,32.7,45.7,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-20.2,-27.1,25.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.29,default,-3,121.4,120.4,68.0,B,OBSERVE,43.5,3.0,PYKRX,20.0,17.0,0,8.0,20.0,True
067290,JW신약,,1354,20.1,5.1,3.8,-49.3,5.0,-15.2,-33.8,-40.6,-18.4,-27.8,-21.0,0.68,2670,1289,0,False,False,False,298841,350835,3.2,4.3,6.0,0.85,0,False,False,False,False,-,88.2,4.3,0.0,-2.3,-0.2,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,96.2,95.2,067290,110431,0,2,0,0,,[20260522] 전환사채(해외전환사채포함)발행후만기전사채취득               (20260522900828) || [20260521] 주요사항보고서(전환사채권발행결정) (20260521000483),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260522900828 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260521000483,,,,20260522900828 || 20260521000483,주의,2025.0,74.6,99.5,-25.1,CFS,영업이익(손실),dart_OperatingIncomeLoss,60.3,84.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,28.8,6.7,332.1,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,0.81,default,0,121.2,120.2,62.0,WATCH,WATCH,51.9,0.0,PYKRX,20.0,17.0,0,15.0,20.0,False
291810,핀텔,,1054,27.5,0.6,0.0,-79.7,0.4,-22.2,-46.5,-55.1,-30.5,-42.1,-55.5,8.29,5190,1050,5,True,False,False,539323,242622,22.0,6.0,3.1,2.22,0,False,False,False,False,-,100.0,-1.2,-0.7,1.5,0.1,True,0,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,105.0,104.0,291810,1524507,0,13,0,0,,[20260417] 기타주요경영사항              (제3자배정 유상증자 및 제3회차 전환사채권 발행 결정 철회) (20260417900687) || [20260417] [기재정정]주요사항보고서(유상증자결정) (20260417000592) || [20260417] [기재정정]주요사항보고서(전환사채권발행결정) (20260417000537),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260417900687 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260417000592 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260417000537,,,,20260417900687 || 20260417000592 || 20260417000537,주의,2025.0,-32.3,-15.3,-111.5,OFS,영업이익(손실),dart_OperatingIncomeLoss,-20.1,-4.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-6.7,-11.1,39.7,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,-5,이중적자,,default,1,121.0,120.0,-999.0,EXCLUDE,EXCLUDE,-999.0,7.0,PYKRX,-15.0,8.5,0,-10.0,20.0,False
208370,셀바스헬스케어,,3270,28.4,8.5,-1.2,-56.3,2.7,-13.8,-26.2,-35.1,-14.0,-21.3,-27.4,1.29,7490,3185,0,False,False,False,180477,160578,6.7,6.2,6.1,1.12,4,False,False,False,True,거래량동반양봉,89.5,4.7,0.0,7.8,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,101.5,100.5,208370,1047451,0,0,0,0,,,,,,,,,,,안전,2025.0,-1.6,32.7,-104.9,CFS,영업이익(손실),dart_OperatingIncomeLoss,3.0,45.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,6.7,3.5,91.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,-1,120.5,119.5,66.0,C,OBSERVE,51.9,0.0,PYKRX,10.0,17.0,4,15.0,20.0,True
024740,한일단조,,2405,9.3,7.2,6.4,-49.9,20.2,-14.6,-33.7,3.7,-18.4,-24.1,-4.4,0.69,4800,2000,0,False,False,False,405524,423588,6.8,10.4,12.9,0.96,0,False,False,False,False,-,87.4,9.8,0.0,14.4,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,95.4,94.4,024740,162832,0,0,0,0,,,,,,,,,,,안전,2025.0,35.2,82.9,-57.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,82.6,244.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,25.5,8.2,211.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.35,default,0,120.4,119.4,78.0,B,OBSERVE,51.9,6.0,PYKRX,20.0,17.0,0,15.0,20.0,True
413630,씨피시스템,,2775,24.4,8.2,8.2,-55.2,129.3,-15.8,-31.7,-41.0,-17.2,-23.5,-24.5,0.58,6190,1210,0,False,False,False,202663,347328,5.7,5.9,12.2,0.58,0,False,False,False,False,-,86.7,7.9,0.0,5.2,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,94.7,93.7,413630,1601222,0,0,0,0,,,,,,,,,,,안전,2025.0,21.4,33.2,-35.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,39.9,44.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,5.3,4.8,12.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.86,default,0,119.7,118.7,70.0,B,OBSERVE,48.4,3.0,PYKRX,20.0,12.0,0,15.0,20.0,True
451250,삐아,,6840,23.5,11.6,0.6,-49.3,4.0,-12.9,-24.4,-21.4,-13.7,-17.4,-27.2,1.22,13500,6580,0,False,False,False,43062,47343,3.9,3.1,3.8,0.91,0,False,False,False,False,-,87.4,2.2,-0.0,1.5,-0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,95.4,94.4,451250,1283974,0,0,0,0,,,,,,,,,,,안전,2025.0,44.7,55.4,-19.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,31.5,-9.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,29.4,12.6,133.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,0.7,default,-1,119.4,118.4,75.0,B,OBSERVE,51.9,3.0,PYKRX,20.0,17.0,0,15.0,20.0,True
239610,에이치엘사이언스,,6000,6.9,13.8,-4.6,-56.5,5.8,-18.7,-34.1,-29.4,-20.9,-22.8,-32.2,2.6,13780,5670,5,True,False,False,5271,3364,0.5,0.3,0.3,1.57,4,False,False,False,True,거래량동반양봉,97.0,-0.0,0.0,0.1,0.0,True,0,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,106.0,105.0,239610,1011438,0,0,0,0,,,,,,,,,,,안전,2025.0,-110.5,-98.6,-12.1,CFS,영업이익(손실),dart_OperatingIncomeLoss,-70.5,-35.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-22.5,-29.6,24.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,-5,이중적자,,default,-2,119.0,118.0,-999.0,EXCLUDE,EXCLUDE,-999.0,7.0,PYKRX,-15.0,8.5,4,0.0,20.0,False
065950,웰크론,,1002,13.3,15.5,-14.9,-63.0,7.5,-22.9,-37.0,-38.4,-22.3,-32.0,-41.7,1.87,2705,932,0,False,False,False,167705,155969,3.0,1.8,2.0,1.08,0,False,False,False,False,-,93.0,1.4,0.0,0.2,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,101.0,100.0,065950,362159,0,0,0,0,,,,,,,,,,,안전,2025.0,-111.2,21.7,-612.0,CFS,영업이익(손실),dart_OperatingIncomeLoss,217.3,-57.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,5.7,-9.6,159.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,-2,119.0,118.0,63.0,C,OBSERVE,43.9,1.0,PYKRX,10.0,17.0,0,15.0,20.0,True
431190,케이쓰리아이,,2880,16.3,8.4,-7.2,-61.3,4.9,-28.2,-39.0,-39.4,-27.7,-31.4,-40.6,2.5,7450,2745,5,True,False,False,82455,49301,3.5,2.6,1.9,1.67,0,False,False,False,False,-,97.5,0.9,-0.0,1.8,-0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,110.5,109.5,431190,1689266,0,0,0,0,,,,,,,,,,,안전,2025.0,-35.1,-37.2,5.8,CFS,영업이익(손실),dart_OperatingIncomeLoss,20.7,-25.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-13.8,-14.6,5.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,0,회계손실현금유입,,default,-2,118.5,117.5,58.0,C,OBSERVE,36.2,7.0,PYKRX,10.0,6.0,0,15.0,20.0,True
039310,세중,,1210,34.4,22.2,5.5,-58.3,7.8,-9.7,-31.8,-9.5,-14.3,-27.9,-18.9,1.85,2900,1122,0,False,False,False,202633,192348,4.2,2.6,2.8,1.05,0,False,False,False,False,-,82.4,2.3,0.3,0.6,0.3,True,15,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,97.4,96.4,039310,264671,0,0,0,0,,,,,,,,,,,안전,2025.0,-10.3,4.2,-346.8,OFS,영업이익(손실),dart_OperatingIncomeLoss,20.6,-10.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,0.3,-3.0,111.4,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,1,118.4,117.4,69.0,C,OBSERVE,43.9,7.0,PYKRX,10.0,17.0,0,15.0,20.0,True
