market,run_id,run_timestamp,ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,smartmoney_score,smartmoney_trigger,roe_value,roe_gate,insider_score,insider_source,buyback_cancel_flag,catalyst_score,reversal_score,supply_score_v2,supply_intensity,quality_score,turnaround_score,oversold_component,PBR,PER,DIV,BPS,EPS,value_score,value_source,main_candidate,final_score_v3,entry_score,grade,bucket
kosdaq,20260606,20260606_1205,133750,메가엠디,교육,1464,19.6,25.4,18.0,-35.8,7.3,-4.9,-21.5,-16.7,-10.3,-16.9,-21.0,0.46,2280,1365,5,0,1,0,47827,54440,0.4,0.7,0.9,0.88,3,0,1,0,0,5일선회복,69.0,0.2,0.4,-0.4,2.3,1,15,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,92.0,89.0,133750,807555,0,0,0,0,,,,,,,,,,,안전,2025.0,18.1,22.4,-18.9,OFS,영업이익(손실),dart_OperatingIncomeLoss,51.0,83.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,1.5,-4.9,130.4,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.82,default,2,119.0,116.0,,,,,,,,,7,15.0,0.667,20.0,17.0,17.25,0.49,11.62,4.1,3007.0,126.0,15.0,PYKRX,False,91.2,65.1,C,OBSERVE
kosdaq,20260606,20260606_1205,143240,사람인,IT서비스,15160,27.3,37.7,27.9,-17.6,20.6,-0.8,-10.2,18.0,-3.6,-7.8,4.8,0.47,18400,12570,5,0,1,0,10918,11330,0.8,1.6,1.8,0.96,3,0,1,0,0,5일선회복,51.0,0.1,0.4,0.6,3.9,1,15,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,74.0,71.0,143240,857480,0,0,0,0,,,,,,,,,,,안전,2025.0,167.8,212.6,-21.1,CFS,영업이익,dart_OperatingIncomeLoss,123.6,222.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,42.7,19.6,117.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,0.74,default,2,101.0,98.0,,,,,,,,,7,13.0,0.278,20.0,17.0,12.75,0.6,1.73,4.62,25433.0,8746.0,20.0,PYKRX,False,89.8,61.3,C,OBSERVE
kosdaq,20260606,20260606_1205,080010,이상네트웍스,도매,6390,21.1,3.3,-4.8,-21.6,19.0,-12.5,-15.9,0.0,-14.6,-9.5,-7.6,1.02,8150,5370,0,0,0,0,11976,13906,0.9,0.8,1.0,0.86,0,0,0,0,0,-,71.7,1.3,-0.7,6.2,-0.7,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,79.7,76.7,080010,454399,0,0,0,0,,,,,,,,,,,안전,2025.0,229.2,207.4,10.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,236.6,174.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,58.4,40.7,43.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.03,default,-1,93.7,90.7,,,,,,,,,0,15.0,0.6,23.0,11.0,17.925,0.42,4.05,3.13,15272.0,1579.0,20.0,PYKRX,False,86.9,49.5,C,OBSERVE
kosdaq,20260606,20260606_1205,010470,오리콤,엔지니어링,5050,21.1,10.8,-0.8,-26.9,2.0,-6.7,-16.7,-7.7,-8.9,-13.0,-14.1,1.69,6910,4950,5,1,0,0,41459,27048,2.2,2.1,1.5,1.53,0,0,0,0,0,-,77.4,0.9,0.0,-0.8,0.0,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,90.4,87.4,010470,141671,0,0,0,0,,,,,,,,,,,안전,2025.0,89.2,120.0,-25.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,106.6,-32.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,15.0,-6.6,327.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.2,default,0,115.4,112.4,,,,,,,,,0,15.0,0.6,20.0,17.0,19.35,0.45,7.58,5.35,11173.0,666.0,15.0,PYKRX,False,86.4,51.7,C,OBSERVE
kosdaq,20260606,20260606_1205,196700,웹스,화학,1266,15.1,6.2,5.4,-63.7,2.9,-13.9,-36.4,-46.0,-20.8,-32.1,-30.4,0.69,3490,1230,5,1,0,0,180068,137761,1.1,2.4,2.2,1.31,0,0,0,0,0,-,87.8,1.5,0.3,1.6,0.3,1,15,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,107.8,104.8,196700,864338,0,0,0,0,,,,,,,,,,,안전,2025.0,55.5,30.9,79.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,43.7,59.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,7.7,5.0,52.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.79,default,0,122.8,119.8,,,,,,,,,0,15.0,0.818,23.0,11.0,20.0,0.45,4.43,0.0,2809.0,286.0,17.0,PYKRX,False,86.0,50.1,C,OBSERVE
kosdaq,20260606,20260606_1205,099390,브레인즈컴퍼니,출판·SW,3825,32.7,9.3,14.5,-44.0,3.2,-4.6,-16.1,-2.3,-6.6,-11.9,-22.7,1.25,6830,3705,5,1,0,0,41866,28926,1.4,1.6,1.2,1.45,0,0,0,0,0,-,72.0,1.5,0.1,1.9,0.1,1,15,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,92.0,89.0,099390,642897,0,0,0,0,,,,,,,,,,,안전,2025.0,21.1,36.0,-41.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,57.6,52.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-12.2,-19.4,37.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.73,default,2,119.0,116.0,,,,,,,,,0,15.0,1.333,20.0,17.0,18.0,0.54,5.78,4.44,7049.0,662.0,15.0,PYKRX,False,85.0,51.3,C,OBSERVE
kosdaq,20260606,20260606_1205,088130,동아엘텍,기계·장비,6580,22.0,2.5,4.2,-55.0,129.7,-21.0,-41.5,-20.0,-25.8,-25.4,11.3,0.45,14620,2865,0,0,0,0,305845,506093,14.5,22.2,47.4,0.6,0,0,0,0,0,-,88.3,20.0,-5.1,49.0,2.8,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,96.3,93.3,088130,489243,0,0,0,0,,,,,,,,,,,안전,2025.0,1132.3,147.3,668.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,938.7,-204.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,40.2,-31.3,228.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.83,default,-3,108.3,105.3,,,,,,,,,0,15.0,0.314,23.0,11.0,20.0,0.68,2.34,2.28,9726.0,2811.0,15.0,PYKRX,True,84.0,50.1,B,OBSERVE
kosdaq,20260606,20260606_1205,094970,제이엠티,반도체·전자부품,2775,10.0,5.1,11.0,-35.1,26.4,-12.5,-28.0,11.0,-19.8,-19.8,-5.2,0.54,4275,2195,0,0,0,0,200939,281862,4.0,5.8,10.1,0.71,0,0,0,0,0,-,78.6,1.5,0.4,4.5,-0.9,1,15,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,93.6,90.6,094970,533508,0,0,0,0,,,,,,,,,,,안전,2025.0,131.4,52.8,148.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,172.6,-38.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,34.3,-14.3,340.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.31,default,0,108.6,105.6,,,,,,,,,0,13.0,0.188,23.0,11.0,19.65,0.32,3.25,2.16,8646.0,853.0,15.0,PYKRX,True,81.6,47.6,B,OBSERVE
kosdaq,20260606,20260606_1205,003380,하림지주,금융(은행),10540,14.1,2.7,3.7,-46.3,49.3,-7.0,-21.9,-21.3,-11.6,-19.0,-5.1,0.6,19610,7060,0,0,0,0,790894,1176458,74.0,86.9,144.5,0.67,0,0,0,0,0,-,83.0,8.7,37.9,96.1,7.3,1,15,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,98.0,95.0,003380,148364,0,0,0,0,,,,,,,,,,,안전,2025.0,8874.3,7654.8,15.9,CFS,영업이익(손실),dart_OperatingIncomeLoss,11410.7,8787.7,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,2582.5,2198.9,17.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.29,default,0,113.0,110.0,,,,,,,,,0,15.0,0.322,23.0,6.0,20.0,0.32,4.47,1.14,32613.0,2360.0,17.0,PYKRX,True,81.0,46.6,B,OBSERVE
kosdaq,20260606,20260606_1205,038460,바이오스마트,반도체·전자부품,2910,28.5,21.4,9.3,-58.0,10.6,-12.1,-36.0,-33.3,-16.1,-26.4,-21.0,1.02,6930,2630,0,0,0,0,509555,415204,11.9,14.8,14.5,1.23,0,0,0,0,0,-,83.5,5.4,0.0,19.0,0.0,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,91.5,88.5,038460,240857,0,0,0,0,,,,,,,,,,,안전,2025.0,225.7,202.4,11.5,CFS,영업손익,dart_OperatingIncomeLoss,240.7,37.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,100.7,56.2,79.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업손익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.07,default,2,108.5,105.5,,,,,,,,,0,15.0,0.372,23.0,11.0,20.0,0.51,8.17,0.0,5697.0,356.0,12.0,PYKRX,True,81.0,50.1,B,OBSERVE
kosdaq,20260606,20260606_1205,105760,포스뱅크,기계·장비,4400,28.7,5.4,-4.8,-44.6,1.9,-15.4,-21.7,-6.2,-15.8,-18.6,-20.9,0.69,7940,4320,0,0,0,0,80175,82054,2.4,3.8,4.3,0.98,0,0,0,0,0,-,83.7,1.0,0.6,0.8,0.6,1,15,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,98.7,95.7,105760,862312,0,0,0,0,,,,,,,,,,,안전,2025.0,33.8,29.8,13.4,CFS,영업이익,dart_OperatingIncomeLoss,46.5,-21.3,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,20.0,5.3,277.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.38,default,-3,110.7,107.7,,,,,,,,,0,15.0,0.372,23.0,11.0,20.0,0.54,11.22,0.0,8078.0,392.0,12.0,PYKRX,False,81.0,50.1,C,OBSERVE
kosdaq,20260606,20260606_1205,277070,린드먼아시아,금융(은행),3660,29.1,36.1,10.2,-40.0,7.6,-7.2,-14.0,-9.6,-7.1,-11.7,-23.6,2.09,6100,3400,5,1,0,0,29103,14699,1.1,1.1,0.6,1.98,0,0,0,0,0,-,74.4,0.5,1.3,0.2,2.0,1,15,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,94.4,91.4,277070,616962,0,0,0,0,,,,,,,,,,,안전,2025.0,36.0,42.1,-14.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,54.4,4.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,10.7,2.2,395.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.51,default,-2,117.4,114.4,,,,,,,,,0,15.0,3.0,20.0,17.0,18.6,0.76,15.44,6.83,4821.0,237.0,9.0,PYKRX,False,79.6,51.5,C,OBSERVE
kosdaq,20260606,20260606_1205,051500,CJ프레시웨이,도매,23700,33.0,42.9,33.6,-34.9,11.3,3.0,-15.5,-19.9,-4.1,-12.5,-15.5,1.68,36400,21300,15,1,1,1,85664,54004,21.4,19.9,13.3,1.59,10,0,1,1,1,5일선회복/+3%반등/거래량동반양봉,57.2,17.2,-4.4,25.8,-45.3,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,90.2,87.2,051500,127954,0,0,0,0,,,,,,,,,,,안전,2025.0,1016.5,940.3,8.1,CFS,영업이익(손실),dart_OperatingIncomeLoss,1270.8,1112.1,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,110.3,106.3,3.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.25,default,5,110.2,107.2,,,,,,,,,15,15.0,0.962,20.0,6.0,14.3,0.62,5.98,2.11,38342.0,3961.0,9.0,PYKRX,True,79.3,72.5,B,WAIT
kosdaq,20260606,20260606_1205,035810,이지홀딩스,식료품,4410,21.9,12.2,5.4,-52.5,25.1,-8.8,-22.9,-43.2,-12.5,-18.5,-9.4,0.62,9290,3525,0,0,0,0,340952,402587,10.2,15.4,20.6,0.85,0,0,0,0,0,-,83.7,10.2,-7.1,0.2,-12.3,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,91.7,88.7,035810,242378,0,0,0,0,,,,,,,,,,,안전,2025.0,1513.5,1234.0,22.7,CFS,영업이익,dart_OperatingIncomeLoss,2364.0,1648.6,I. 영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,341.7,174.1,96.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.56,default,0,106.7,103.7,,,,,,,,,0,10.0,0.15,23.0,11.0,20.0,0.41,10.63,30.86,10821.0,415.0,15.0,PYKRX,True,79.0,44.1,B,OBSERVE
kosdaq,20260606,20260606_1205,192250,케이사인,출판·SW,8730,19.9,0.0,2.5,-45.4,2.7,-18.2,-33.5,0.6,-22.2,-24.6,-20.8,0.53,16000,8500,0,0,0,0,53644,173011,4.8,5.1,22.0,0.31,0,0,0,0,0,-,87.2,3.5,0.0,5.0,0.0,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,95.2,92.2,192250,1003040,0,0,0,0,,,,,,,,,,,안전,2025.0,29.0,13.1,121.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,32.2,58.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,2.4,-9.4,125.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.11,default,-3,107.2,104.2,,,,,,,,,0,10.0,0.159,23.0,11.0,20.0,0.66,23.53,2.29,13139.0,371.0,15.0,PYKRX,True,79.0,44.1,B,OBSERVE
kosdaq,20260606,20260606_1205,171120,라이온켐텍,화학,2105,27.1,6.6,4.1,-42.3,5.6,-7.7,-17.5,5.4,-9.0,-8.1,-3.9,0.53,3650,1993,0,0,0,0,245695,413858,4.4,5.3,9.7,0.59,0,0,0,0,0,-,79.0,2.0,0.0,0.7,-0.5,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,87.0,84.0,171120,317104,0,0,0,0,,,,,,,,,,,안전,2025.0,113.7,93.8,21.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,270.7,36.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,41.9,-20.2,307.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,2.38,default,0,102.0,99.0,,,,,,,,,0,10.0,0.206,23.0,11.0,19.75,0.53,8.73,4.75,3936.0,241.0,15.0,PYKRX,True,78.8,44.0,B,OBSERVE
kosdaq,20260606,20260606_1205,041460,한국전자인증,출판·SW,3215,17.5,6.3,6.1,-38.9,1.4,-8.9,-23.4,-9.7,-12.9,-18.9,-17.8,0.64,5260,3170,0,0,0,0,94182,112981,2.3,3.1,4.2,0.83,0,0,0,0,0,-,79.8,2.2,0.5,-6.8,0.5,1,15,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,94.8,91.8,041460,361169,0,0,0,0,,,,,,,,,,,안전,2025.0,67.3,47.2,42.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,64.5,58.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,25.2,20.8,21.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.96,default,0,109.8,106.8,,,,,,,,,0,15.0,0.643,23.0,11.0,19.95,0.91,12.76,2.99,3523.0,252.0,9.0,PYKRX,False,78.0,50.1,C,OBSERVE
kosdaq,20260606,20260606_1205,005860,한일사료,식료품,2660,8.7,4.3,7.6,-50.2,1.5,-13.1,-32.7,-38.6,-17.3,-27.4,-21.8,0.44,5340,2620,0,0,0,0,541167,748410,8.1,15.1,25.1,0.72,0,0,0,0,0,-,87.0,17.5,0.0,39.6,0.0,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,95.0,92.0,005860,162911,0,0,0,0,,,,,,,,,,,안전,2025.0,58.6,37.0,58.6,CFS,영업이익(손실),dart_OperatingIncomeLoss,157.4,120.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,14.8,4.2,250.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,2.69,default,0,110.0,107.0,,,,,,,,,0,15.0,0.697,23.0,11.0,20.0,0.64,16.42,2.82,4159.0,162.0,9.0,PYKRX,True,78.0,50.1,B,OBSERVE
kosdaq,20260606,20260606_1205,024740,한일단조,자동차·부품,2345,10.5,6.5,9.8,-51.1,17.2,-12.0,-32.5,-15.2,-17.4,-25.4,-6.9,0.42,4800,2000,0,0,0,0,264260,371861,3.6,6.4,10.9,0.71,0,0,0,0,0,-,86.1,6.7,0.0,8.7,0.0,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,94.1,91.1,024740,162832,0,0,0,0,,,,,,,,,,,안전,2025.0,35.2,82.9,-57.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,82.6,244.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,25.5,8.2,211.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.35,default,0,119.1,116.1,,,,,,,,,0,15.0,0.615,20.0,17.0,20.0,0.56,52.11,0.0,4222.0,45.0,6.0,PYKRX,True,78.0,51.9,B,OBSERVE
kosdaq,20260606,20260606_1205,078070,유비쿼스홀딩스,금융(은행),10420,15.3,2.5,2.9,-51.6,12.6,-15.9,-34.6,-1.8,-22.7,-31.5,-13.2,0.79,21550,9250,0,0,0,0,86072,126047,9.7,9.6,17.8,0.68,0,0,0,0,0,-,88.8,9.2,-0.4,28.6,0.4,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,96.8,93.8,078070,411385,0,0,0,0,,,,,,,,,,,안전,2025.0,306.1,143.5,113.3,CFS,영업이익,dart_OperatingIncomeLoss,321.2,429.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,57.5,44.9,28.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.05,default,0,111.8,108.8,,,,,,,,,0,15.0,0.494,23.0,11.0,20.0,0.65,8.44,2.3,16069.0,1234.0,9.0,PYKRX,True,78.0,50.1,B,OBSERVE
kosdaq,20260606,20260606_1205,065530,와이어블,통신,1398,13.5,3.8,6.2,-57.6,17.5,-16.3,-33.6,15.6,-22.3,-32.9,-9.6,0.27,3300,1190,0,0,0,0,263844,487563,1.8,4.0,9.3,0.54,0,0,0,0,0,-,87.5,3.3,0.0,4.2,0.8,1,8,조정,-3,-1,-1,-1,1.3,-17.4,1558.84,3.44,7.15,-1895.0,-1895.0,-1895.0,10,10,1.0,95.5,92.5,065530,250137,0,0,0,0,,,,,,,,,,,안전,2025.0,54.8,38.3,43.1,CFS,영업이익(손실),dart_OperatingIncomeLoss,157.0,159.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,13.3,3.1,325.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,2.86,default,0,110.5,107.5,,,,,,,,,0,15.0,0.355,23.0,11.0,20.0,0.86,14.72,3.58,1631.0,95.0,9.0,PYKRX,True,78.0,50.1,B,OBSERVE
