market,run_id,run_timestamp,ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,smartmoney_score,smartmoney_trigger,roe_value,roe_gate,insider_score,insider_source,buyback_cancel_flag,catalyst_score,realized_vol,dart_status,os_count_20d,os_streak,os_is_new20,drop_acuteness,reversal_score,supply_score_v2,supply_intensity,quality_score,turnaround_score,oversold_component,PBR,PER,DIV,BPS,EPS,value_score,value_source,main_candidate,final_score_v3,entry_score,grade,bucket,v30_final_score_v3,v30_grade,v30_bucket,dscore_v3
kosdaq,20260727,20260727_2021,099390,브레인즈컴퍼니,출판·SW,3165,42.7,42.1,32.2,-53.7,8.2,2.8,-5.9,-32.1,-2.6,-12.5,-30.5,1.46,6830,2925,15,1,1,1,38983,20199,0.9,1.2,0.6,1.93,6,0,1,1,0,5일선회복/+3%반등,43.3,1.6,0.0,1.7,0.1,1,3,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,67.3,61.3,099390,642897,0,0,0,0,,,,,,,,,,,안전,2025.0,21.1,36.0,-41.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,57.6,52.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-12.2,-19.4,37.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.73,default,5,97.3,91.3,5.0,0.0,9.39,1.0,0.0,OFF,0.0,0.0,0.025262575007914522,SAFE,20.0,22.0,0.0,-0.47457627118644063,11,15.0,2.667,20.0,17.0,10.825,0.45,4.78,5.37,7049.0,662.0,15.0,PYKRX,True,109.2,71.1,A+,BUY,88.8,A+,BUY,20.4
kosdaq,20260727,20260727_2021,133750,메가엠디,교육,1318,24.4,35.0,28.4,-39.1,5.0,-0.2,-6.0,-29.3,-2.7,-9.3,-24.6,0.43,2165,1255,0,0,0,0,7709,15069,0.1,0.1,0.2,0.51,6,0,1,1,0,5일선회복/+3%반등,57.3,0.1,0.1,0.3,0.5,1,10,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,73.3,67.3,133750,807555,0,0,0,0,,,,,,,,,,,안전,2025.0,18.1,22.4,-18.9,OFS,영업이익(손실),dart_OperatingIncomeLoss,51.0,83.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,1.5,-4.9,130.4,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.82,default,2,100.3,94.3,4.0,0.0,4.19,0.0,0.0,OFF,0.0,0.0,0.02194012311004059,SAFE,16.0,14.0,0.0,0.03333333333333333,11,15.0,1.0,20.0,17.0,14.325,0.44,10.46,4.55,3007.0,126.0,15.0,PYKRX,True,88.3,72.2,A+,BUY,92.3,A+,BUY,-4.0
kosdaq,20260727,20260727_2021,050860,아세아텍,기계·장비,1698,29.9,31.7,23.5,-22.8,3.2,0.9,-8.3,-16.6,-3.1,-6.0,-11.6,0.37,2200,1646,10,0,1,1,23515,39431,0.2,0.4,0.7,0.6,6,0,1,1,0,5일선회복/+3%반등,53.9,0.2,0.0,1.1,0.0,1,3,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,72.9,66.9,050860,138747,0,0,0,0,,,,,,,,,,,안전,2025.0,39.9,63.9,-37.6,OFS,영업이익(손실),dart_OperatingIncomeLoss,132.2,-200.5,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2025 Q3,3개월,49.6,44.6,11.1,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,3.31,default,5,102.9,96.9,5.0,0.0,2.12,0.0,0.0,OFF,0.0,0.0,0.01160447425678331,SAFE,12.0,10.0,0.0,-0.10843373493975902,11,10.0,0.286,20.0,12.0,13.475,0.25,11.87,2.94,6756.0,143.0,15.0,PYKRX,True,79.0,62.4,A+,BUY,81.5,A+,BUY,-2.5
kosdaq,20260727,20260727_2021,066310,큐에스아이,반도체·전자부품,6960,43.7,27.9,30.5,-69.4,5.9,3.4,-11.7,-53.1,-4.3,-25.6,-25.7,0.68,22750,6570,10,0,1,1,44841,64123,2.9,3.1,4.7,0.7,6,0,1,1,0,5일선회복/+3%반등,43.6,0.7,0.0,5.3,0.1,1,8,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,67.6,61.6,066310,411446,0,0,0,0,,,,,,,,,,,안전,2025.0,2.9,11.8,-75.2,CFS,영업이익,dart_OperatingIncomeLoss,47.5,32.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,5.3,-0.3,1698.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,16.38,default,5,97.6,91.6,5.0,0.0,2.92,0.0,0.0,OFF,0.0,0.0,0.04912277853748053,SAFE,19.0,1.0,0.0,-0.2905982905982906,11,5.0,0.149,15.0,17.0,10.9,0.72,24.68,1.44,9645.0,282.0,12.0,PYKRX,True,70.1,55.2,A,BUY,70.9,A,BUY,-0.8
kosdaq,20260727,20260727_2021,078150,HB테크놀러지,기계·장비,1889,40.0,35.6,34.4,-69.2,11.1,5.2,-18.2,-28.4,-5.5,-29.5,-18.9,0.65,6140,1701,10,0,1,1,575185,987037,11.6,10.6,20.3,0.58,6,0,1,1,0,5일선회복/+3%반등,50.3,-1.8,0.0,-18.9,0.0,1,0,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,66.3,60.3,078150,255275,0,0,0,0,,,,,,,,,,,안전,2025.0,62.4,-165.1,137.8,CFS,영업이익(손실),dart_OperatingIncomeLoss,124.0,30.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,5.3,-30.7,117.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.99,default,5,86.3,80.3,3.0,0.0,9.98,1.0,0.0,OFF,0.0,0.0,0.05149142401299141,SAFE,20.0,38.0,0.0,-0.28571428571428575,11,0.0,-0.089,23.0,11.0,12.575,0.59,5.9,1.06,3208.0,320.0,12.0,PYKRX,True,66.7,51.9,A,BUY,69.6,A,BUY,-2.9
kosdaq,20260727,20260727_2021,475430,키스트론,전기장비,4320,35.7,26.6,35.2,-44.8,8.5,7.9,-31.2,-6.9,-11.3,-13.0,-9.3,0.14,7820,3980,10,0,1,1,312578,2575823,9.1,13.5,160.3,0.12,6,0,1,1,0,5일선회복/+3%반등,61.1,0.4,0.4,17.6,1.6,1,15,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,92.1,86.1,475430,204323,0,0,0,0,,,,,,,,,,,안전,2025.0,74.0,59.0,25.3,OFS,영업이익(손실),dart_OperatingIncomeLoss,103.3,64.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,20.7,18.1,14.3,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.4,default,5,112.1,106.1,7.0,0.0,5.18,0.0,0.0,OFF,0.0,0.0,0.0715963598038506,SAFE,12.0,12.0,0.0,-0.25320512820512825,11,3.0,0.005,23.0,6.0,15.275,0.41,7.84,1.16,10628.0,551.0,12.0,PYKRX,True,59.5,52.8,A,BUY,70.3,A,BUY,-10.8
kosdaq,20260727,20260727_2021,085670,뉴프렉스,반도체·전자부품,2995,38.0,15.2,23.8,-58.9,3.5,2.0,-9.2,-55.3,-6.3,-24.3,-42.3,0.3,7280,2895,10,1,1,0,676998,294215,2.7,20.5,9.2,2.3,3,0,0,1,0,+3%반등,56.8,-0.4,0.0,-4.2,0.0,1,0,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,69.8,63.8,085670,493510,0,0,0,0,,,,,,,,,,,안전,2025.0,92.3,146.4,-36.9,CFS,영업이익,dart_OperatingIncomeLoss,147.4,427.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,13.0,-1.3,1071.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업외손익,dart_NonOperatingProfitLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.6,default,5,99.8,93.8,0.0,0.0,8.12,1.0,0.0,OFF,0.0,0.0,0.045907777547432624,SAFE,18.0,5.0,0.0,-0.2173913043478261,7,0.0,-0.043,20.0,17.0,14.2,0.68,8.32,3.34,4434.0,360.0,15.0,PYKRX,True,94.2,46.2,B,WAIT,73.2,B,WAIT,21.0
kosdaq,20260727,20260727_2021,099410,동방선기,조선·기타운송,3000,40.3,24.9,38.5,-59.1,7.5,4.2,-7.7,-44.0,-2.5,-17.0,-37.1,0.83,7340,2790,15,1,1,1,159289,94898,2.3,5.0,3.0,1.68,6,0,1,1,0,5일선회복/+3%반등,44.3,0.4,0.0,2.0,-0.3,1,3,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,68.3,62.3,099410,526678,0,0,0,0,,,,,,,,,,,안전,2025.0,92.9,40.8,127.6,OFS,영업이익(손실),dart_OperatingIncomeLoss,101.1,49.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,15.5,4.2,268.6,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.09,default,7,90.3,84.3,5.0,0.0,15.95,1.0,0.0,OFF,0.0,0.0,0.04907441033918675,SAFE,18.0,0.0,0.0,-0.5454545454545454,11,5.0,0.133,23.0,11.0,11.075,0.84,5.26,0.0,3574.0,570.0,6.0,PYKRX,True,83.1,57.4,B,WAIT,67.1,B,WAIT,16.0
kosdaq,20260727,20260727_2021,038290,마크로젠,전문서비스,11350,32.6,30.4,26.9,-45.7,5.4,2.9,-5.4,-32.4,-3.8,-9.8,-26.6,0.62,20900,10770,10,0,1,1,34303,34750,2.4,3.9,4.1,0.99,6,0,1,1,0,5일선회복/+3%반등,56.3,3.7,0.0,10.7,0.0,1,3,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,75.3,69.3,038290,261373,0,0,0,0,,,,,,,,,,,안전,2025.0,1.8,-64.6,102.8,CFS,영업이익(손실),dart_OperatingIncomeLoss,223.5,71.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-5.1,-30.5,83.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,124.17,default,5,95.3,89.3,5.0,0.0,1.29,0.0,0.0,OFF,0.0,0.0,0.027257086234768562,SAFE,14.0,9.0,0.0,-0.537037037037037,11,15.0,0.902,18.0,11.0,14.075,0.78,60.7,4.41,14505.0,187.0,9.0,PYKRX,True,82.3,66.3,B,WAIT,78.1,B,WAIT,4.2
kosdaq,20260727,20260727_2021,493280,아이엠바이오로직스,지주·전문서비스,17660,38.0,27.5,25.2,-83.0,11.2,3.3,-17.5,-65.6,-11.2,-32.1,,0.83,104000,15880,5,0,1,0,74896,83914,12.1,12.8,16.8,0.89,6,0,1,1,0,5일선회복/+3%반등,57.3,14.9,-3.5,37.1,-3.3,1,8,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,76.3,70.3,493280,1859500,0,0,0,0,,,,,,,,,,,안전,2025.0,3.0,140.0,-97.9,OFS,영업이익(손실),dart_OperatingIncomeLoss,3.9,168.8,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,27.3,-18.6,246.7,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.3,default,7,108.3,102.3,2.0,0.0,2.22,0.0,0.0,OFF,0.0,0.0,0.06869040191019031,SAFE,20.0,35.0,0.0,-0.18857142857142856,11,15.0,0.679,20.0,17.0,14.325,3.06,137.97,0.0,5770.0,128.0,0.0,PYKRX,True,79.8,72.2,B,WAIT,77.3,B,WAIT,2.5
kosdaq,20260727,20260727_2021,009520,포스코엠텍,철강·1차금속,10640,39.4,36.4,32.8,-53.9,8.0,6.3,-14.1,-48.2,-5.6,-22.8,-35.4,0.8,23100,9850,5,0,1,0,148773,164432,13.8,15.6,18.8,0.9,6,0,1,1,0,5일선회복/+3%반등,49.8,0.1,3.5,-16.2,17.5,1,15,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,75.8,69.8,009520,128111,0,0,0,0,,,,,,,,,,,안전,2025.0,10.3,14.2,-27.3,OFS,영업이익,dart_OperatingIncomeLoss,15.6,-76.9,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,24.8,-8.0,411.5,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.51,default,7,107.8,101.8,4.0,0.0,1.24,0.0,0.0,OFF,0.0,0.0,0.05040163310071402,SAFE,20.0,41.0,0.0,-0.44680851063829785,11,13.0,0.191,20.0,17.0,12.45,3.88,312.94,0.09,2744.0,34.0,0.0,PYKRX,True,76.1,69.2,B,WAIT,73.4,B,WAIT,2.7
kosdaq,20260727,20260727_2021,274400,이노시뮬레이션,출판·SW,2095,34.4,42.3,46.4,-59.3,19.7,12.0,-10.1,-49.2,-1.2,-20.0,-41.7,0.62,5150,1750,10,0,1,1,26446,26585,0.3,0.5,0.6,0.99,6,0,1,1,0,5일선회복/+3%반등,49.9,0.5,0.0,1.6,0.0,1,8,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,73.9,67.9,274400,965318,0,0,0,0,,,,,,,,,,,안전,2025.0,-19.9,-48.1,58.7,OFS,영업이익(손실),dart_OperatingIncomeLoss,27.1,-15.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-4.6,-12.0,61.7,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,0,회계손실현금유입,,default,5,88.9,82.9,5.0,0.0,0.0,0.0,0.0,OFF,0.0,0.0,0.05824064814365482,SAFE,19.0,0.0,0.0,-1.188118811881188,11,15.0,0.833,13.0,11.0,12.475,0.63,0.0,0.0,3320.0,0.0,7.0,PYKRX,True,73.7,61.8,B,WAIT,69.5,B,WAIT,4.2
kosdaq,20260727,20260727_2021,250000,보라티알,도매,5290,30.1,35.9,16.2,-48.4,5.2,-1.9,-5.0,-31.9,-2.8,-12.9,-30.4,2.58,10250,5030,10,1,0,1,10150,7257,0.9,0.5,0.4,1.4,7,0,1,0,1,5일선회복/거래량동반양봉,73.1,0.5,0.0,1.2,0.0,1,3,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,93.1,87.1,250000,1124680,0,0,0,0,,,,,,,,,,,안전,2025.0,91.5,128.0,-28.6,CFS,영업이익(손실),dart_OperatingIncomeLoss,80.5,4.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,15.1,21.8,-30.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,하락지속,-10,5,현금창출양호,0.88,default,1,89.1,83.1,7.0,0.0,0.26,0.0,0.0,OFF,0.0,0.0,0.023473560635410777,SAFE,18.0,5.0,0.0,0.38,8,15.0,1.25,15.0,-10.0,18.275,0.39,151.14,7.56,13583.0,35.0,15.0,PYKRX,True,72.5,44.5,B,WAIT,61.3,B,WAIT,11.2
kosdaq,20260727,20260727_2021,475460,미트박스,IT서비스,5590,37.4,42.7,31.0,-71.3,7.9,0.5,-1.8,-32.0,-2.9,-11.8,-29.0,1.43,19490,5180,10,0,1,1,13289,15343,1.2,0.7,0.9,0.87,4,0,0,0,1,거래량동반양봉,49.5,0.7,0.0,0.8,0.0,1,3,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,66.5,60.5,475460,1374717,0,0,0,0,,,,,,,,,,,안전,2025.0,29.1,31.2,-6.8,CFS,영업이익(손실),dart_OperatingIncomeLoss,15.3,83.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,15.9,2.2,624.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,2,현금창출보통,0.53,default,5,93.5,87.5,5.0,0.0,4.72,0.0,0.0,OFF,0.0,0.0,0.044369587848878234,SAFE,12.0,1.0,0.0,,7,15.0,0.778,12.0,17.0,12.375,0.84,17.8,1.79,6649.0,314.0,6.0,PYKRX,True,71.5,57.2,B,WAIT,69.4,B,WAIT,2.1
kosdaq,20260727,20260727_2021,451250,삐아,화학,7080,40.7,27.4,32.3,-43.7,14.2,5.2,-7.7,-19.1,-4.2,-5.3,-20.1,0.35,12580,6200,10,0,1,1,12228,29112,0.7,0.9,2.2,0.42,6,0,1,1,0,5일선회복/+3%반등,43.0,0.3,0.8,3.5,3.8,1,10,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,69.0,63.0,451250,1283974,0,0,0,0,,,,,,,,,,,안전,2025.0,44.7,55.4,-19.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,31.5,-9.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,29.4,12.6,133.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,0.7,default,5,99.0,93.0,7.0,0.0,10.74,0.0,0.0,OFF,0.0,0.0,0.03521263138036758,SAFE,8.0,1.0,0.0,-0.6753246753246753,11,15.0,0.5,20.0,17.0,10.75,1.56,14.57,2.82,4524.0,486.0,3.0,PYKRX,True,71.2,71.1,B,WAIT,76.8,B,WAIT,-5.6
kosdaq,20260727,20260727_2021,411080,샌즈랩,출판·SW,3780,41.3,39.7,32.6,-64.3,8.9,3.6,-10.2,-52.9,-4.6,-24.1,-43.9,0.61,10600,3470,10,1,1,0,67254,46780,1.0,2.5,1.8,1.44,6,0,1,1,0,5일선회복/+3%반등,45.1,2.6,0.0,8.7,0.0,1,8,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,69.1,63.1,411080,1242241,0,0,0,0,,,,,,,,,,,안전,2025.0,-17.7,-37.1,52.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,3.2,-2.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-10.1,-14.5,30.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,0,회계손실현금유입,,default,5,84.1,78.1,2.0,0.0,0.0,0.0,0.0,OFF,0.0,0.0,0.05211006354415754,SAFE,20.0,41.0,0.0,-0.35294117647058826,11,15.0,1.444,13.0,11.0,11.275,1.07,0.0,3.97,3538.0,0.0,-2.0,PYKRX,True,71.2,61.5,B,WAIT,59.3,B,WAIT,11.9
kosdaq,20260727,20260727_2021,419120,산돌,출판·SW,2315,34.6,13.0,14.7,-77.4,3.1,-6.8,-11.3,-43.3,-8.4,-19.3,-41.2,0.46,10248,2245,5,0,0,1,28971,25452,0.3,0.7,0.6,1.14,3,0,1,0,0,5일선회복,67.1,0.1,0.0,2.4,0.0,1,8,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,83.1,77.1,419120,1516368,0,0,0,0,,,,,,,,,,,안전,2025.0,44.5,28.6,55.7,CFS,영업이익,dart_OperatingIncomeLoss,60.3,12.5,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,17.0,18.3,-6.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,관망,0,5,현금창출양호,1.36,default,-3,85.1,79.1,5.0,0.0,6.09,0.0,0.0,OFF,1.0,8.0,0.03975672312749572,SAFE,5.0,5.0,0.0,0.6017699115044247,4,10.0,0.167,18.0,0.0,16.775,0.58,9.49,4.32,4008.0,244.0,15.0,PYKRX,True,70.5,39.4,B,WAIT,63.8,B,WAIT,6.7
kosdaq,20260727,20260727_2021,314930,바이오다인,의료·정밀·광학,8560,36.1,51.0,41.8,-49.2,13.5,3.5,-5.8,-30.8,-2.0,-9.8,-30.5,0.31,16860,7540,10,0,1,1,25259,41309,1.1,2.1,3.6,0.61,6,0,1,1,0,5일선회복/+3%반등,46.7,1.1,0.1,12.0,-1.1,1,10,약세,-6,-7,1,0,-23.5,-13.8,1469.3,-2.32,-4.99,-777.0,-777.0,-777.0,10,10,1.0,72.7,66.7,314930,1117413,0,0,0,0,,,,,,,,,,,안전,2025.0,6.5,-17.3,137.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,8.3,8.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-4.0,-8.1,50.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.28,default,5,92.7,86.7,7.0,0.0,1.94,0.0,0.0,OFF,0.0,0.0,0.039140115699358026,SAFE,18.0,14.0,0.0,-0.603448275862069,11,15.0,0.333,23.0,11.0,11.675,5.73,295.17,0.0,1495.0,29.0,0.0,PYKRX,True,69.4,69.6,B,WAIT,71.7,B,WAIT,-2.3
